Sub,Type,Year,Median_Price
Geelong West,2 bedroom flat,2017,278
Lara,2 bedroom flat,2017,280
Newtown,2 bedroom flat,2017,295
North Geelong,2 bedroom flat,2017,280
Group Total,2 bedroom flat,2017,285
Ballarat,2 bedroom flat,2017,250
Buninyong,2 bedroom flat,2017,240
Delacombe,2 bedroom flat,2017,230
Alfredton,2 bedroom flat,2017,230
Group Total,2 bedroom flat,2017,240
Bendigo,2 bedroom flat,2017,238
Bendigo East,2 bedroom flat,2017,240
Kangaroo Flat,2 bedroom flat,2017,250
North Bendigo,2 bedroom flat,2017,250
Group Total,2 bedroom flat,2017,240
Bairnsdale,2 bedroom flat,2017,230
Benalla,2 bedroom flat,2017,195
Castlemaine,2 bedroom flat,2017,275
Echuca,2 bedroom flat,2017,250
Hamilton,2 bedroom flat,2017,190
Horsham,2 bedroom flat,2017,200
Mildura,2 bedroom flat,2017,210
Newborough,2 bedroom flat,2017,160
Morwell,2 bedroom flat,2017,180
Barwon Heads,2 bedroom flat,2017,310
Portland,2 bedroom flat,2017,170
Maffra,2 bedroom flat,2017,225
Seymour,2 bedroom flat,2017,210
Shepparton,2 bedroom flat,2017,220
Swan Hill,2 bedroom flat,2017,220
Torquay,2 bedroom flat,2017,350
Traralgon,2 bedroom flat,2017,220
Wanagaratta,2 bedroom flat,2017,210
Warragul,2 bedroom flat,2017,260
Warrnambool,2 bedroom flat,2017,235
Wodonga,2 bedroom flat,2017,230
Group Total,2 bedroom flat,2017,220
West St Kilda,3 bedroom flat,2017,795
Armadale,3 bedroom flat,2017,650
Carlton North,3 bedroom flat,2017,650
Parkville,3 bedroom flat,2017,665
St Kilda Rd,3 bedroom flat,2017,820
Abbotsford,3 bedroom flat,2017,750
Docklands,3 bedroom flat,2017,920
East Melbourne,3 bedroom flat,2017,850
East St Kilda,3 bedroom flat,2017,570
Elwood,3 bedroom flat,2017,600
Fitzroy,3 bedroom flat,2017,750
Clifton Hill,3 bedroom flat,2017,695
Kensington,3 bedroom flat,2017,550
West Melbourne,3 bedroom flat,2017,698
Port Melbourne,3 bedroom flat,2017,900
Windsor,3 bedroom flat,2017,685
Burnley,3 bedroom flat,2017,750
South Melbourne,3 bedroom flat,2017,700
South Yarra,3 bedroom flat,2017,775
Southbank,3 bedroom flat,2017,775
St Kilda,3 bedroom flat,2017,655
Toorak,3 bedroom flat,2017,715
Group Total,3 bedroom flat,2017,750
Balwyn,3 bedroom flat,2017,580
Blackburn,3 bedroom flat,2017,460
Box Hill,3 bedroom flat,2017,500
Doncaster,3 bedroom flat,2017,500
Ashburton,3 bedroom flat,2017,540
Glen Iris,3 bedroom flat,2017,600
Mont Albert,3 bedroom flat,2017,565
Oakleigh,3 bedroom flat,2017,500
Clayton,3 bedroom flat,2017,450
Donvale,3 bedroom flat,2017,460
East Hawthorn,3 bedroom flat,2017,598
Mulgrave,3 bedroom flat,2017,480
Hawthorn,3 bedroom flat,2017,645
Kew,3 bedroom flat,2017,550
Mount Waverley,3 bedroom flat,2017,490
Mitcham,3 bedroom flat,2017,448
Burwood East,3 bedroom flat,2017,430
Group Total,3 bedroom flat,2017,500
Carrum,3 bedroom flat,2017,440
Bentleigh,3 bedroom flat,2017,550
Brighton,3 bedroom flat,2017,750
Brighton East,3 bedroom flat,2017,625
Carnegie,3 bedroom flat,2017,545
Caulfield,3 bedroom flat,2017,595
Cheltenham,3 bedroom flat,2017,493
Elsternwick,3 bedroom flat,2017,560
Beaumaris,3 bedroom flat,2017,650
Malvern,3 bedroom flat,2017,650
Malvern East,3 bedroom flat,2017,578
Mordialloc,3 bedroom flat,2017,505
Hughesdale,3 bedroom flat,2017,498
Group Total,3 bedroom flat,2017,550
Altona,3 bedroom flat,2017,400
Footscray,3 bedroom flat,2017,525
Avondale Heights,3 bedroom flat,2017,415
Melton,3 bedroom flat,2017,280
Spotswood,3 bedroom flat,2017,503
Deer Park,3 bedroom flat,2017,330
Sunshine,3 bedroom flat,2017,350
Sydenham,3 bedroom flat,2017,350
Hoppers Crossing,3 bedroom flat,2017,320
West Footscray,3 bedroom flat,2017,430
Williamstown,3 bedroom flat,2017,575
Seddon,3 bedroom flat,2017,530
Group Total,3 bedroom flat,2017,350
Roxburgh Park,3 bedroom flat,2017,350
Brunswick,3 bedroom flat,2017,645
Pascoe Vale South,3 bedroom flat,2017,510
Craigieburn,3 bedroom flat,2017,340
East Brunswick,3 bedroom flat,2017,600
Essendon,3 bedroom flat,2017,450
Tullamarine,3 bedroom flat,2017,368
Keilor,3 bedroom flat,2017,-
Ascot Vale,3 bedroom flat,2017,495
Fawkner,3 bedroom flat,2017,400
Coburg North,3 bedroom flat,2017,430
Sunbury,3 bedroom flat,2017,330
West Brunswick,3 bedroom flat,2017,560
Group Total,3 bedroom flat,2017,410
Hurstbridge,3 bedroom flat,2017,400
Montmorency,3 bedroom flat,2017,430
Alphington,3 bedroom flat,2017,570
Heidelberg West,3 bedroom flat,2017,430
Ivanhoe East,3 bedroom flat,2017,560
Epping,3 bedroom flat,2017,345
Northcote,3 bedroom flat,2017,620
Preston,3 bedroom flat,2017,460
Reservoir,3 bedroom flat,2017,393
Lalor,3 bedroom flat,2017,350
Thornbury,3 bedroom flat,2017,580
Whittlesea,3 bedroom flat,2017,325
Group Total,3 bedroom flat,2017,400
Bayswater,3 bedroom flat,2017,395
Boronia,3 bedroom flat,2017,390
Lilydale,3 bedroom flat,2017,400
Ferntree Gully,3 bedroom flat,2017,390
Ringwood,3 bedroom flat,2017,430
Rowville,3 bedroom flat,2017,400
Scoresby,3 bedroom flat,2017,403
Yarra Ranges,3 bedroom flat,2017,373
Group Total,3 bedroom flat,2017,400
Berwick,3 bedroom flat,2017,360
Cranbourne,3 bedroom flat,2017,330
Dandenong,3 bedroom flat,2017,370
Endeavour Hills,3 bedroom flat,2017,350
Hampton Park,3 bedroom flat,2017,350
Noble Park,3 bedroom flat,2017,365
Pakenham,3 bedroom flat,2017,318
Springvale,3 bedroom flat,2017,400
Group Total,3 bedroom flat,2017,350
Portsea,3 bedroom flat,2017,380
Frankston,3 bedroom flat,2017,360
Flinders,3 bedroom flat,2017,365
Mt Martha,3 bedroom flat,2017,440
Carrum Downs,3 bedroom flat,2017,360
Group Total,3 bedroom flat,2017,375
Grovedale,3 bedroom flat,2017,365
Corio,3 bedroom flat,2017,270
Newcombe,3 bedroom flat,2017,370
Geelong West,3 bedroom flat,2017,395
Lara,3 bedroom flat,2017,340
Newtown,3 bedroom flat,2017,400
North Geelong,3 bedroom flat,2017,360
Group Total,3 bedroom flat,2017,355
Ballarat,3 bedroom flat,2017,290
Buninyong,3 bedroom flat,2017,280
Delacombe,3 bedroom flat,2017,265
Alfredton,3 bedroom flat,2017,310
Group Total,3 bedroom flat,2017,285
Bendigo,3 bedroom flat,2017,350
Bendigo East,3 bedroom flat,2017,295
Kangaroo Flat,3 bedroom flat,2017,300
North Bendigo,3 bedroom flat,2017,280
Group Total,3 bedroom flat,2017,295
Bairnsdale,3 bedroom flat,2017,295
Benalla,3 bedroom flat,2017,210
Castlemaine,3 bedroom flat,2017,-
Echuca,3 bedroom flat,2017,285
Hamilton,3 bedroom flat,2017,-
Horsham,3 bedroom flat,2017,295
Mildura,3 bedroom flat,2017,280
Newborough,3 bedroom flat,2017,-
Morwell,3 bedroom flat,2017,-
Barwon Heads,3 bedroom flat,2017,370
Portland,3 bedroom flat,2017,250
Maffra,3 bedroom flat,2017,300
Seymour,3 bedroom flat,2017,-
Shepparton,3 bedroom flat,2017,305
Swan Hill,3 bedroom flat,2017,290
Torquay,3 bedroom flat,2017,420
Traralgon,3 bedroom flat,2017,280
Wanagaratta,3 bedroom flat,2017,270
Warragul,3 bedroom flat,2017,310
Warrnambool,3 bedroom flat,2017,300
Wodonga,3 bedroom flat,2017,285
Group Total,3 bedroom flat,2017,300
West St Kilda,2 bedroom house,2017,650
Armadale,2 bedroom house,2017,620
Carlton North,2 bedroom house,2017,530
Parkville,2 bedroom house,2017,500
St Kilda Rd,2 bedroom house,2017,455
Abbotsford,2 bedroom house,2017,560
Docklands,2 bedroom house,2017,-
East Melbourne,2 bedroom house,2017,600
East St Kilda,2 bedroom house,2017,570
Elwood,2 bedroom house,2017,598
Fitzroy,2 bedroom house,2017,590
Clifton Hill,2 bedroom house,2017,550
Kensington,2 bedroom house,2017,480
West Melbourne,2 bedroom house,2017,505
Port Melbourne,2 bedroom house,2017,575
Windsor,2 bedroom house,2017,596
Burnley,2 bedroom house,2017,590
South Melbourne,2 bedroom house,2017,550
South Yarra,2 bedroom house,2017,640
Southbank,2 bedroom house,2017,-
St Kilda,2 bedroom house,2017,580
Toorak,2 bedroom house,2017,620
Group Total,2 bedroom house,2017,560
Balwyn,2 bedroom house,2017,405
Blackburn,2 bedroom house,2017,380
Box Hill,2 bedroom house,2017,395
Doncaster,2 bedroom house,2017,400
Ashburton,2 bedroom house,2017,390
Glen Iris,2 bedroom house,2017,495
Mont Albert,2 bedroom house,2017,475
Oakleigh,2 bedroom house,2017,380
Clayton,2 bedroom house,2017,380
Donvale,2 bedroom house,2017,380
East Hawthorn,2 bedroom house,2017,550
Mulgrave,2 bedroom house,2017,395
Hawthorn,2 bedroom house,2017,563
Kew,2 bedroom house,2017,530
Mount Waverley,2 bedroom house,2017,393
Mitcham,2 bedroom house,2017,380
Burwood East,2 bedroom house,2017,360
Group Total,2 bedroom house,2017,410
Carrum,2 bedroom house,2017,365
Bentleigh,2 bedroom house,2017,430
Brighton,2 bedroom house,2017,608
Brighton East,2 bedroom house,2017,515
Carnegie,2 bedroom house,2017,450
Caulfield,2 bedroom house,2017,470
Cheltenham,2 bedroom house,2017,435
Elsternwick,2 bedroom house,2017,490
Beaumaris,2 bedroom house,2017,498
Malvern,2 bedroom house,2017,645
Malvern East,2 bedroom house,2017,460
Mordialloc,2 bedroom house,2017,425
Hughesdale,2 bedroom house,2017,445
Group Total,2 bedroom house,2017,450
Altona,2 bedroom house,2017,330
Footscray,2 bedroom house,2017,420
Avondale Heights,2 bedroom house,2017,360
Melton,2 bedroom house,2017,260
Spotswood,2 bedroom house,2017,440
Deer Park,2 bedroom house,2017,300
Sunshine,2 bedroom house,2017,310
Sydenham,2 bedroom house,2017,340
Hoppers Crossing,2 bedroom house,2017,300
West Footscray,2 bedroom house,2017,380
Williamstown,2 bedroom house,2017,473
Seddon,2 bedroom house,2017,460
Group Total,2 bedroom house,2017,370
Roxburgh Park,2 bedroom house,2017,320
Brunswick,2 bedroom house,2017,500
Pascoe Vale South,2 bedroom house,2017,425
Craigieburn,2 bedroom house,2017,320
East Brunswick,2 bedroom house,2017,515
Essendon,2 bedroom house,2017,400
Tullamarine,2 bedroom house,2017,330
Keilor,2 bedroom house,2017,-
Ascot Vale,2 bedroom house,2017,450
Fawkner,2 bedroom house,2017,340
Coburg North,2 bedroom house,2017,380
Sunbury,2 bedroom house,2017,300
West Brunswick,2 bedroom house,2017,465
Group Total,2 bedroom house,2017,410
Hurstbridge,2 bedroom house,2017,330
Montmorency,2 bedroom house,2017,355
Alphington,2 bedroom house,2017,480
Heidelberg West,2 bedroom house,2017,345
Ivanhoe East,2 bedroom house,2017,450
Epping,2 bedroom house,2017,320
Northcote,2 bedroom house,2017,550
Preston,2 bedroom house,2017,400
Reservoir,2 bedroom house,2017,340
Lalor,2 bedroom house,2017,323
Thornbury,2 bedroom house,2017,490
Whittlesea,2 bedroom house,2017,300
Group Total,2 bedroom house,2017,360
Bayswater,2 bedroom house,2017,345
Boronia,2 bedroom house,2017,330
Lilydale,2 bedroom house,2017,350
Ferntree Gully,2 bedroom house,2017,335
Ringwood,2 bedroom house,2017,360
Rowville,2 bedroom house,2017,-
Scoresby,2 bedroom house,2017,375
Yarra Ranges,2 bedroom house,2017,320
Group Total,2 bedroom house,2017,345
Berwick,2 bedroom house,2017,337
Cranbourne,2 bedroom house,2017,330
Dandenong,2 bedroom house,2017,310
Endeavour Hills,2 bedroom house,2017,293
Hampton Park,2 bedroom house,2017,320
Noble Park,2 bedroom house,2017,320
Pakenham,2 bedroom house,2017,290
Springvale,2 bedroom house,2017,360
Group Total,2 bedroom house,2017,320
Portsea,2 bedroom house,2017,300
Frankston,2 bedroom house,2017,320
Flinders,2 bedroom house,2017,310
Mt Martha,2 bedroom house,2017,360
Carrum Downs,2 bedroom house,2017,325
Group Total,2 bedroom house,2017,315
Grovedale,2 bedroom house,2017,310
Corio,2 bedroom house,2017,230
Newcombe,2 bedroom house,2017,300
Geelong West,2 bedroom house,2017,325
Lara,2 bedroom house,2017,298
Newtown,2 bedroom house,2017,350
North Geelong,2 bedroom house,2017,280
Group Total,2 bedroom house,2017,290
Ballarat,2 bedroom house,2017,250
Buninyong,2 bedroom house,2017,240
Delacombe,2 bedroom house,2017,240
Alfredton,2 bedroom house,2017,240
Group Total,2 bedroom house,2017,245
Bendigo,2 bedroom house,2017,255
Bendigo East,2 bedroom house,2017,260
Kangaroo Flat,2 bedroom house,2017,260
North Bendigo,2 bedroom house,2017,250
Group Total,2 bedroom house,2017,250
Bairnsdale,2 bedroom house,2017,245
Benalla,2 bedroom house,2017,220
Castlemaine,2 bedroom house,2017,290
Echuca,2 bedroom house,2017,280
Hamilton,2 bedroom house,2017,210
Horsham,2 bedroom house,2017,220
Mildura,2 bedroom house,2017,245
Newborough,2 bedroom house,2017,195
Morwell,2 bedroom house,2017,190
Barwon Heads,2 bedroom house,2017,315
Portland,2 bedroom house,2017,200
Maffra,2 bedroom house,2017,240
Seymour,2 bedroom house,2017,260
Shepparton,2 bedroom house,2017,250
Swan Hill,2 bedroom house,2017,223
Torquay,2 bedroom house,2017,395
Traralgon,2 bedroom house,2017,250
Wanagaratta,2 bedroom house,2017,230
Warragul,2 bedroom house,2017,265
Warrnambool,2 bedroom house,2017,280
Wodonga,2 bedroom house,2017,250
Group Total,2 bedroom house,2017,245
West St Kilda,3 bedroom house,2017,895
Armadale,3 bedroom house,2017,850
Carlton North,3 bedroom house,2017,705
Parkville,3 bedroom house,2017,750
St Kilda Rd,3 bedroom house,2017,343
Abbotsford,3 bedroom house,2017,700
Docklands,3 bedroom house,2017,-
East Melbourne,3 bedroom house,2017,1000
East St Kilda,3 bedroom house,2017,738
Elwood,3 bedroom house,2017,798
Fitzroy,3 bedroom house,2017,750
Clifton Hill,3 bedroom house,2017,720
Kensington,3 bedroom house,2017,580
West Melbourne,3 bedroom house,2017,680
Port Melbourne,3 bedroom house,2017,800
Windsor,3 bedroom house,2017,780
Burnley,3 bedroom house,2017,750
South Melbourne,3 bedroom house,2017,800
South Yarra,3 bedroom house,2017,850
Southbank,3 bedroom house,2017,-
St Kilda,3 bedroom house,2017,720
Toorak,3 bedroom house,2017,900
Group Total,3 bedroom house,2017,750
Balwyn,3 bedroom house,2017,550
Blackburn,3 bedroom house,2017,420
Box Hill,3 bedroom house,2017,450
Doncaster,3 bedroom house,2017,450
Ashburton,3 bedroom house,2017,465
Glen Iris,3 bedroom house,2017,650
Mont Albert,3 bedroom house,2017,630
Oakleigh,3 bedroom house,2017,440
Clayton,3 bedroom house,2017,410
Donvale,3 bedroom house,2017,450
East Hawthorn,3 bedroom house,2017,720
Mulgrave,3 bedroom house,2017,440
Hawthorn,3 bedroom house,2017,700
Kew,3 bedroom house,2017,643
Mount Waverley,3 bedroom house,2017,450
Mitcham,3 bedroom house,2017,420
Burwood East,3 bedroom house,2017,420
Group Total,3 bedroom house,2017,450
Carrum,3 bedroom house,2017,450
Bentleigh,3 bedroom house,2017,525
Brighton,3 bedroom house,2017,875
Brighton East,3 bedroom house,2017,675
Carnegie,3 bedroom house,2017,553
Caulfield,3 bedroom house,2017,650
Cheltenham,3 bedroom house,2017,500
Elsternwick,3 bedroom house,2017,690
Beaumaris,3 bedroom house,2017,695
Malvern,3 bedroom house,2017,780
Malvern East,3 bedroom house,2017,595
Mordialloc,3 bedroom house,2017,525
Hughesdale,3 bedroom house,2017,465
Group Total,3 bedroom house,2017,550
Altona,3 bedroom house,2017,370
Footscray,3 bedroom house,2017,460
Avondale Heights,3 bedroom house,2017,400
Melton,3 bedroom house,2017,300
Spotswood,3 bedroom house,2017,515
Deer Park,3 bedroom house,2017,330
Sunshine,3 bedroom house,2017,340
Sydenham,3 bedroom house,2017,370
Hoppers Crossing,3 bedroom house,2017,330
West Footscray,3 bedroom house,2017,400
Williamstown,3 bedroom house,2017,580
Seddon,3 bedroom house,2017,525
Group Total,3 bedroom house,2017,350
Roxburgh Park,3 bedroom house,2017,345
Brunswick,3 bedroom house,2017,640
Pascoe Vale South,3 bedroom house,2017,500
Craigieburn,3 bedroom house,2017,350
East Brunswick,3 bedroom house,2017,650
Essendon,3 bedroom house,2017,450
Tullamarine,3 bedroom house,2017,360
Keilor,3 bedroom house,2017,400
Ascot Vale,3 bedroom house,2017,550
Fawkner,3 bedroom house,2017,380
Coburg North,3 bedroom house,2017,430
Sunbury,3 bedroom house,2017,335
West Brunswick,3 bedroom house,2017,560
Group Total,3 bedroom house,2017,380
Hurstbridge,3 bedroom house,2017,385
Montmorency,3 bedroom house,2017,440
Alphington,3 bedroom house,2017,620
Heidelberg West,3 bedroom house,2017,408
Ivanhoe East,3 bedroom house,2017,550
Epping,3 bedroom house,2017,360
Northcote,3 bedroom house,2017,640
Preston,3 bedroom house,2017,460
Reservoir,3 bedroom house,2017,370
Lalor,3 bedroom house,2017,350
Thornbury,3 bedroom house,2017,580
Whittlesea,3 bedroom house,2017,350
Group Total,3 bedroom house,2017,380
Bayswater,3 bedroom house,2017,380
Boronia,3 bedroom house,2017,370
Lilydale,3 bedroom house,2017,395
Ferntree Gully,3 bedroom house,2017,390
Ringwood,3 bedroom house,2017,400
Rowville,3 bedroom house,2017,415
Scoresby,3 bedroom house,2017,400
Yarra Ranges,3 bedroom house,2017,380
Group Total,3 bedroom house,2017,390
Berwick,3 bedroom house,2017,370
Cranbourne,3 bedroom house,2017,355
Dandenong,3 bedroom house,2017,370
Endeavour Hills,3 bedroom house,2017,345
Hampton Park,3 bedroom house,2017,350
Noble Park,3 bedroom house,2017,350
Pakenham,3 bedroom house,2017,340
Springvale,3 bedroom house,2017,380
Group Total,3 bedroom house,2017,350
Portsea,3 bedroom house,2017,350
Frankston,3 bedroom house,2017,370
Flinders,3 bedroom house,2017,360
Mt Martha,3 bedroom house,2017,450
Carrum Downs,3 bedroom house,2017,350
Group Total,3 bedroom house,2017,370
Grovedale,3 bedroom house,2017,360
Corio,3 bedroom house,2017,260
Newcombe,3 bedroom house,2017,330
Geelong West,3 bedroom house,2017,360
Lara,3 bedroom house,2017,350
Newtown,3 bedroom house,2017,395
North Geelong,3 bedroom house,2017,330
Group Total,3 bedroom house,2017,330
Ballarat,3 bedroom house,2017,290
Buninyong,3 bedroom house,2017,300
Delacombe,3 bedroom house,2017,270
Alfredton,3 bedroom house,2017,300
Group Total,3 bedroom house,2017,290
Bendigo,3 bedroom house,2017,290
Bendigo East,3 bedroom house,2017,300
Kangaroo Flat,3 bedroom house,2017,290
North Bendigo,3 bedroom house,2017,285
Group Total,3 bedroom house,2017,290
Bairnsdale,3 bedroom house,2017,298
Benalla,3 bedroom house,2017,270
Castlemaine,3 bedroom house,2017,320
Echuca,3 bedroom house,2017,325
Hamilton,3 bedroom house,2017,240
Horsham,3 bedroom house,2017,270
Mildura,3 bedroom house,2017,300
Newborough,3 bedroom house,2017,250
Morwell,3 bedroom house,2017,224
Barwon Heads,3 bedroom house,2017,380
Portland,3 bedroom house,2017,240
Maffra,3 bedroom house,2017,280
Seymour,3 bedroom house,2017,265
Shepparton,3 bedroom house,2017,285
Swan Hill,3 bedroom house,2017,270
Torquay,3 bedroom house,2017,450
Traralgon,3 bedroom house,2017,285
Wanagaratta,3 bedroom house,2017,285
Warragul,3 bedroom house,2017,300
Warrnambool,3 bedroom house,2017,320
Wodonga,3 bedroom house,2017,310
Group Total,3 bedroom house,2017,290
West St Kilda,4 bedroom house,2017,1050
Armadale,4 bedroom house,2017,950
Carlton North,4 bedroom house,2017,957
Parkville,4 bedroom house,2017,900
St Kilda Rd,4 bedroom house,2017,-
Abbotsford,4 bedroom house,2017,-
Docklands,4 bedroom house,2017,-
East Melbourne,4 bedroom house,2017,-
East St Kilda,4 bedroom house,2017,895
Elwood,4 bedroom house,2017,1065
Fitzroy,4 bedroom house,2017,970
Clifton Hill,4 bedroom house,2017,950
Kensington,4 bedroom house,2017,750
West Melbourne,4 bedroom house,2017,800
Port Melbourne,4 bedroom house,2017,1100
Windsor,4 bedroom house,2017,950
Burnley,4 bedroom house,2017,950
South Melbourne,4 bedroom house,2017,-
South Yarra,4 bedroom house,2017,1150
Southbank,4 bedroom house,2017,-
St Kilda,4 bedroom house,2017,895
Toorak,4 bedroom house,2017,1800
Group Total,4 bedroom house,2017,950
Balwyn,4 bedroom house,2017,720
Blackburn,4 bedroom house,2017,550
Box Hill,4 bedroom house,2017,600
Doncaster,4 bedroom house,2017,550
Ashburton,4 bedroom house,2017,645
Glen Iris,4 bedroom house,2017,895
Mont Albert,4 bedroom house,2017,800
Oakleigh,4 bedroom house,2017,593
Clayton,4 bedroom house,2017,530
Donvale,4 bedroom house,2017,550
East Hawthorn,4 bedroom house,2017,895
Mulgrave,4 bedroom house,2017,510
Hawthorn,4 bedroom house,2017,910
Kew,4 bedroom house,2017,998
Mount Waverley,4 bedroom house,2017,550
Mitcham,4 bedroom house,2017,500
Burwood East,4 bedroom house,2017,500
Group Total,4 bedroom house,2017,580
Carrum,4 bedroom house,2017,550
Bentleigh,4 bedroom house,2017,750
Brighton,4 bedroom house,2017,1300
Brighton East,4 bedroom house,2017,950
Carnegie,4 bedroom house,2017,795
Caulfield,4 bedroom house,2017,820
Cheltenham,4 bedroom house,2017,650
Elsternwick,4 bedroom house,2017,1021
Beaumaris,4 bedroom house,2017,1000
Malvern,4 bedroom house,2017,1230
Malvern East,4 bedroom house,2017,780
Mordialloc,4 bedroom house,2017,650
Hughesdale,4 bedroom house,2017,700
Group Total,4 bedroom house,2017,780
Altona,4 bedroom house,2017,400
Footscray,4 bedroom house,2017,490
Avondale Heights,4 bedroom house,2017,485
Melton,4 bedroom house,2017,340
Spotswood,4 bedroom house,2017,625
Deer Park,4 bedroom house,2017,380
Sunshine,4 bedroom house,2017,398
Sydenham,4 bedroom house,2017,430
Hoppers Crossing,4 bedroom house,2017,377
West Footscray,4 bedroom house,2017,475
Williamstown,4 bedroom house,2017,733
Seddon,4 bedroom house,2017,700
Group Total,4 bedroom house,2017,390
Roxburgh Park,4 bedroom house,2017,410
Brunswick,4 bedroom house,2017,775
Pascoe Vale South,4 bedroom house,2017,600
Craigieburn,4 bedroom house,2017,400
East Brunswick,4 bedroom house,2017,720
Essendon,4 bedroom house,2017,600
Tullamarine,4 bedroom house,2017,420
Keilor,4 bedroom house,2017,455
Ascot Vale,4 bedroom house,2017,695
Fawkner,4 bedroom house,2017,430
Coburg North,4 bedroom house,2017,550
Sunbury,4 bedroom house,2017,380
West Brunswick,4 bedroom house,2017,705
Group Total,4 bedroom house,2017,420
Hurstbridge,4 bedroom house,2017,420
Montmorency,4 bedroom house,2017,540
Alphington,4 bedroom house,2017,850
Heidelberg West,4 bedroom house,2017,485
Ivanhoe East,4 bedroom house,2017,745
Epping,4 bedroom house,2017,410
Northcote,4 bedroom house,2017,725
Preston,4 bedroom house,2017,560
Reservoir,4 bedroom house,2017,450
Lalor,4 bedroom house,2017,400
Thornbury,4 bedroom house,2017,650
Whittlesea,4 bedroom house,2017,375
Group Total,4 bedroom house,2017,400
Bayswater,4 bedroom house,2017,423
Boronia,4 bedroom house,2017,430
Lilydale,4 bedroom house,2017,480
Ferntree Gully,4 bedroom house,2017,438
Ringwood,4 bedroom house,2017,485
Rowville,4 bedroom house,2017,500
Scoresby,4 bedroom house,2017,470
Yarra Ranges,4 bedroom house,2017,450
Group Total,4 bedroom house,2017,470
Berwick,4 bedroom house,2017,420
Cranbourne,4 bedroom house,2017,400
Dandenong,4 bedroom house,2017,500
Endeavour Hills,4 bedroom house,2017,410
Hampton Park,4 bedroom house,2017,420
Noble Park,4 bedroom house,2017,400
Pakenham,4 bedroom house,2017,380
Springvale,4 bedroom house,2017,430
Group Total,4 bedroom house,2017,405
Portsea,4 bedroom house,2017,475
Frankston,4 bedroom house,2017,450
Flinders,4 bedroom house,2017,460
Mt Martha,4 bedroom house,2017,555
Carrum Downs,4 bedroom house,2017,450
Group Total,4 bedroom house,2017,465
Grovedale,4 bedroom house,2017,420
Corio,4 bedroom house,2017,300
Newcombe,4 bedroom house,2017,390
Geelong West,4 bedroom house,2017,400
Lara,4 bedroom house,2017,420
Newtown,4 bedroom house,2017,525
North Geelong,4 bedroom house,2017,410
Group Total,4 bedroom house,2017,420
Ballarat,4 bedroom house,2017,355
Buninyong,4 bedroom house,2017,380
Delacombe,4 bedroom house,2017,340
Alfredton,4 bedroom house,2017,370
Group Total,4 bedroom house,2017,360
Bendigo,4 bedroom house,2017,335
Bendigo East,4 bedroom house,2017,360
Kangaroo Flat,4 bedroom house,2017,340
North Bendigo,4 bedroom house,2017,320
Group Total,4 bedroom house,2017,330
Bairnsdale,4 bedroom house,2017,370
Benalla,4 bedroom house,2017,335
Castlemaine,4 bedroom house,2017,400
Echuca,4 bedroom house,2017,410
Hamilton,4 bedroom house,2017,290
Horsham,4 bedroom house,2017,348
Mildura,4 bedroom house,2017,340
Newborough,4 bedroom house,2017,300
Morwell,4 bedroom house,2017,270
Barwon Heads,4 bedroom house,2017,450
Portland,4 bedroom house,2017,300
Maffra,4 bedroom house,2017,350
Seymour,4 bedroom house,2017,335
Shepparton,4 bedroom house,2017,360
Swan Hill,4 bedroom house,2017,310
Torquay,4 bedroom house,2017,500
Traralgon,4 bedroom house,2017,360
Wanagaratta,4 bedroom house,2017,350
Warragul,4 bedroom house,2017,375
Warrnambool,4 bedroom house,2017,400
Wodonga,4 bedroom house,2017,375
Group Total,4 bedroom house,2017,370
West St Kilda,All properties,2017,531
Armadale,All properties,2017,440
Carlton North,All properties,2017,540
Parkville,All properties,2017,395
St Kilda Rd,All properties,2017,480
Abbotsford,All properties,2017,450
Docklands,All properties,2017,510
East Melbourne,All properties,2017,495
East St Kilda,All properties,2017,400
Elwood,All properties,2017,420
Fitzroy,All properties,2017,530
Clifton Hill,All properties,2017,520
Kensington,All properties,2017,415
West Melbourne,All properties,2017,420
Port Melbourne,All properties,2017,570
Windsor,All properties,2017,410
Burnley,All properties,2017,500
South Melbourne,All properties,2017,510
South Yarra,All properties,2017,450
Southbank,All properties,2017,540
St Kilda,All properties,2017,405
Toorak,All properties,2017,475
Group Total,All properties,2017,460
Balwyn,All properties,2017,500
Blackburn,All properties,2017,410
Box Hill,All properties,2017,400
Doncaster,All properties,2017,450
Ashburton,All properties,2017,438
Glen Iris,All properties,2017,450
Mont Albert,All properties,2017,475
Oakleigh,All properties,2017,430
Clayton,All properties,2017,380
Donvale,All properties,2017,465
East Hawthorn,All properties,2017,420
Mulgrave,All properties,2017,460
Hawthorn,All properties,2017,380
Kew,All properties,2017,490
Mount Waverley,All properties,2017,465
Mitcham,All properties,2017,395
Burwood East,All properties,2017,420
Group Total,All properties,2017,430
Carrum,All properties,2017,400
Bentleigh,All properties,2017,460
Brighton,All properties,2017,595
Brighton East,All properties,2017,655
Carnegie,All properties,2017,400
Caulfield,All properties,2017,440
Cheltenham,All properties,2017,440
Elsternwick,All properties,2017,420
Beaumaris,All properties,2017,525
Malvern,All properties,2017,460
Malvern East,All properties,2017,410
Mordialloc,All properties,2017,400
Hughesdale,All properties,2017,400
Group Total,All properties,2017,445
Altona,All properties,2017,380
Footscray,All properties,2017,360
Avondale Heights,All properties,2017,395
Melton,All properties,2017,310
Spotswood,All properties,2017,460
Deer Park,All properties,2017,330
